ARTIFACT	SIZE	SHA256	PURPOSE
boot.img	101122048	2461ffa5a96e9e411a7217832d3496e532ffe07755c4a059e8026b47c146685d	exact_CCZH1_boot_image
boot.img.lz4	22667768	26c7da0516edebee9654eb9014f786d3064dc4402eabbd3fdea174049aaab696	exact_CCZH1_boot_member
kernel	38849024	3f78b1be1d763ed9ac5a14d6d1d169e8d8801bb2c006b39835e3f0b863f1bca5	exact_CCZH1_kernel_reference
vmlinux.btf	6386356	c3a0fbfeff1410502ab4624c906908a8d176a763c8835d5dfaffe33a3ece3e36	exact_CCZH1_BTF_reference
vmlinux.elf	44317413	6a9ebc8eea16d0661044926266699c9e5bbea29f4674c9ee7d729c233d3446a4	offline_ELF_reconstruction
vmlinux.nm	4957604	a720361182270bf21361c6c36d898782b1ace1a426019fb8f2788ff523126b25	offline_symbol_table
BTF-TYPE-INVENTORY.txt	14121948	a10fed7f155272cab5fe1f0896ff5a2f41554260a2826291b362c3f1a652f812	exact_BTF_struct_enum_member_inventory
SYMBOL-INVENTORY.txt	26432882	dcbcdeb28742684ffcffe65a8c4e28bec21a04506556440873ec7ce07c1ac938	symbol_names_types_without_addresses
CCZH1-PROVENANCE-AUDIT.tsv	4780	4365bbf360a487a5840b083d22b043347fdaac0d2cbef5a67053240f99596d11	source_classification_audit
STATIC-PROVENANCE-REPORT.txt	1324	8602513c0674f1e9714169a7eb1494b3bda0bdecac79370aa1e4825fa4690af3	static_provenance_report
TARGET-H-AUDIT.tsv	101	20caa457461654d561b7564369a1d01aea6e454492ba1e668d1c259c642707e4	macro_presence_audit_values_redacted
UNRESOLVED-STATUS.tsv	895	bc95ffde8d2651e322da74dba3d4615a02c0b25261014ca183ae716bfb1937b0	unresolved_status
resolved-version.txt	56	444bdf8f87b94650b806a2cbd66c199491c44501480e139c0f958ddd4935cbea	resolved_firmware_version
firmware.zip.sha256.recorded.txt	79	3ae80ae2d19ff846d081e51f6f8612826f69de37094609deb06ecfd6d087635a	firmware_hash_record
CCZH1-Static-Inputs-20260914-145334.tar.gz	35381095	909c15f1478a150549f5c44637804f06df6030d91882929d49692327328dffc5	verified_static_input_package
