FIELD	CURRENT_VALUE	EXACT_CCZH1_EVIDENCE	DERIVATION_METHOD	CLASSIFICATION	SAFE_TO_RETAIN
model	SM-S931B	YES	DIRECT_PROFILE_FIELD	VERIFIED_EXACT	YES
codename	pa1q	YES	DIRECT_PROFILE_FIELD	VERIFIED_EXACT	YES
firmware	S931BXXSCCZH1	YES	DIRECT_PROFILE_FIELD	VERIFIED_EXACT	YES
kernel.release	6.6.98-android15-8-pd6ff1cd-abogkiS931BXXSCCZH1-4k	YES	DIRECT_PROFILE_FIELD	VERIFIED_EXACT	YES
kernel.size	38849024	YES	DIRECT_PROFILE_FIELD	VERIFIED_EXACT	YES
kernel.sha256	3f78b1be1d763ed9ac5a14d6d1d169e8d8801bb2c006b39835e3f0b863f1bca5	YES	DIRECT_PROFILE_FIELD	VERIFIED_EXACT	YES
kernel.btfSize	6386356	YES	DIRECT_PROFILE_FIELD	VERIFIED_EXACT	YES
foreign_family_reference	<PRESENT_REDACTED>	NO	FOREIGN_FAMILY_REFERENCE	FORBIDDEN_FAMILY_REFERENCE	NO
verified CCZH1 target.h	<NOT_VERIFIED>	NO	NOT_DERIVED	UNRESOLVED	NO
CCZH1-derived exploit artifact	<NOT_BUILT>	NO	SECURITY_BOUNDARY	UNRESOLVED	NO
P0_PAGE_OFFSET	<REDACTED_NOT_DERIVED>	NO	SECURITY_BOUNDARY	UNRESOLVED	NO
P0_PHYS_OFFSET	<REDACTED_NOT_DERIVED>	NO	SECURITY_BOUNDARY	UNRESOLVED	NO
P0_KERNEL_PHYS_LOAD	<REDACTED_NOT_DERIVED>	NO	SECURITY_BOUNDARY	UNRESOLVED	NO
SLIDE_TRACEFS_WORKER_CALLER_OFF	<REDACTED_NOT_DERIVED>	NO	SECURITY_BOUNDARY	UNRESOLVED	NO
SLIDE_NFULNL_LOGGER_OBJECT_OFF	<REDACTED_NOT_DERIVED>	NO	SECURITY_BOUNDARY	UNRESOLVED	NO
SLIDE_RANDOM_TABLE_BOOT_ID_DATA_PTR_OFF	<REDACTED_NOT_DERIVED>	NO	SECURITY_BOUNDARY	UNRESOLVED	NO
SLIDE_SYSCTL_BOOTID_OFF	<REDACTED_NOT_DERIVED>	NO	SECURITY_BOUNDARY	UNRESOLVED	NO
